location,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Gust,Wind Gust,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Temperature,Temperature,Temperature
unit,°C,°C,°C,mm,m/s,m/s,m/s,%,hPa,hPa,hPa,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,MSL,MSL,MSL,sfc,sfc,sfc
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Precipitation Total,Базель Wind Gust,Базель Wind Gust,Базель Wind Gust,Базель Cloud Cover Total,Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Temperature,Базель Temperature,Базель Temperature
20000323T0000,16.670246,4.1602454,10.1210785,0.7,5.0,3.1,3.875,44.120834,1017.3,1011.7,1015.1499,18.54,1.83,8.978334
20000324T0000,13.620245,8.620245,10.663579,1.3000001,14.8,3.3,7.183333,48.125,1016.2,1010.6,1012.6875,13.88,4.55,8.578333
20000325T0000,15.490245,5.250245,10.003162,0.0,6.4,2.2,4.05,16.920835,1017.9,1012.7,1015.93335,17.19,2.51,8.680834
20000326T0000,9.380245,5.980245,8.027329,2.9,9.2,3.8,6.9125,77.041664,1015.1,1009.1,1012.86237,12.26,3.58,7.0412498
20000327T0000,8.000245,4.1902456,5.8864956,2.8999999,5.3,1.6,3.9916668,79.125,1009.6,1007.5,1008.36237,11.84,1.43,5.599167
20000328T0000,8.750245,2.0402455,5.5856624,1.1000001,11.2,2.0,5.9291663,65.916664,1011.5,1008.9,1010.35425,12.28,-0.17,4.8100004
20000329T0000,5.940245,3.4702454,4.508162,5.0000005,9.3,3.1,6.766667,86.208336,1009.9,1005.2,1007.14996,6.89,2.16,4.113749
20000330T0000,6.2402453,3.5502453,4.769829,4.4,13.6,7.3,10.7375,99.666664,1014.3,1010.4,1011.98334,6.11,1.63,3.4399996
20000331T0000,13.110246,3.4902453,7.6702456,0.0,7.2,3.2,4.791667,38.779167,1014.3,1005.1,1009.89575,15.25,-0.2,6.3999996
20000401T0000,9.090245,5.0502453,7.1235785,3.0999994,10.1,1.9,6.2333336,64.291664,1008.7,1004.9,1006.8833,13.31,1.9,6.387916
